InterfaceID,DateHour,AvgTotalBytes,AvgTotalPackets,AvgAveragebps,AvgOutPercentUtil,AvgInPercentUtil,AvgPercentUtil,MinTotalBytes,MinTotalPackets,MinAveragebps,MinOutPercentUtil,MinInPercentUtil,MinPercentUtil,MaxTotalBytes,MaxTotalPackets,MaxAveragebps,MaxOutPercentUtil,MaxInPercentUtil,MaxPercentUtil,NextHourAlert
8149,10/11/2018 6:00:00 AM,4019419904,8619985,4963143,0.408257325,0.58437125,0.4963142875,4019420000,8619985,4963143,0.4082573,0.5843713,0.4963143,4019420000,8619985,4963143,0.4082573,0.5843713,0.4963143,0
9370,10/22/2018 9:00:00 PM,14849301504,12429521,18326252,2.8365714,0.828679,1.8326252,14849300000,12429520,18326250,2.836571,0.828679,1.832625,14849300000,12429520,18326250,2.836571,0.828679,1.832625,0
8990,10/15/2018 3:00:00 AM,3561745920,6532352,4397137.5,43.971375,43.971375,43.971375,3561746000,6532352,4397138,43.97137,43.97137,43.97137,3561746000,6532352,4397138,43.97137,43.97137,43.97137,0
9045,10/13/2018 1:00:00 PM,237076384,379182,292683.0625,2.926830625,2.926830625,2.926830625,237076400,379182,292683.1,2.926831,2.926831,2.926831,237076400,379182,292683.1,2.926831,2.926831,2.926831,0
8149,10/14/2018 8:00:00 PM,5055436288,10350558,5346994,0.37564395,0.6937549,0.534699425,5055436000,10350560,5346994,0.3756439,0.6937549,0.5346994,5055436000,10350560,5346994,0.3756439,0.6937549,0.5346994,0
8084,10/11/2018 1:00:00 PM,128418000,197483,158541.71875,0.027900415625,0.003807929296875,0.0158541724609375,128418000,197483,158541.7,0.02790042,0.003807929,0.01585417,128418000,197483,158541.7,0.02790042,0.003807929,0.01585417,0
9404,10/24/2018 7:00:00 PM,30865590,112626,32660.6875,0.326606875,0.326606875,0.326606875,30865590,112626,32660.69,0.3266069,0.3266069,0.3266069,30865590,112626,32660.69,0.3266069,0.3266069,0.3266069,0
9370,10/17/2018 8:00:00 PM,8763836416,7573877,9274122,1.513274,0.341550475,0.9274122375,8763836000,7573877,9274122,1.513274,0.3415505,0.9274122,8763836000,7573877,9274122,1.513274,0.3415505,0.9274122,0
8149,10/29/2018 12:00:00 AM,2693500928,6801851,3327609,0.285423225,0.380098575,0.3327609,2693501000,6801851,3327609,0.2854232,0.3800986,0.3327609,2693501000,6801851,3327609,0.2854232,0.3800986,0.3327609,0
9049,10/12/2018 2:00:00 AM,1693328128,619586,1791858.75,17.9185875,17.9185875,17.9185875,1693328000,619586,1791859,17.91859,17.91859,17.91859,1693328000,619586,1791859,17.91859,17.91859,17.91859,0
